"work","title"
"http://data.carnegiehall.org/works/63156","Canto di Palude"
"http://data.carnegiehall.org/works/82653","Märchenbilder, Op. 113: 4. Langsam, mit melancholischem Ausdruck"
"http://data.carnegiehall.org/works/89657","Les Miserables: I Dreamed a Dream"
"http://data.carnegiehall.org/works/111698","Alleluia"
"http://data.carnegiehall.org/works/12273","Isis and Osiris, Op. 74: Lament of Isis on the Death of Osiris"
"http://data.carnegiehall.org/works/13783","Symphony No. 24 in B-flat Major, K. 182: 3. Allegro"
"http://data.carnegiehall.org/works/42251","Miss Mouse And Mr. Frog"
"http://data.carnegiehall.org/works/73053","Face the Music: Manhattan Madness"
"http://data.carnegiehall.org/works/77891","Henry VIII: Torch Dance"
"http://data.carnegiehall.org/works/81898","Thracian Dances"
"http://data.carnegiehall.org/works/116981","He Was a Friend of Mine"
"http://data.carnegiehall.org/works/18913","Suite for Brass Quartet"
"http://data.carnegiehall.org/works/27512","Piano Sonata No. 3 in F-sharp Minor, Op. 23"
"http://data.carnegiehall.org/works/33116","Rose Marie: Totem Tom-tom"
"http://data.carnegiehall.org/works/116235","Rock Island Line (American)"
"http://data.carnegiehall.org/works/1016","Waltz in A-flat Major, Op. 64, No. 3"
"http://data.carnegiehall.org/works/691","Schlaflos, Frage und Antwort, S. 203"
"http://data.carnegiehall.org/works/46511","La Maria"
"http://data.carnegiehall.org/works/81987","Petrushka: Scene I - Introduction"
"http://data.carnegiehall.org/works/105366","Song (unspecified)"
"http://data.carnegiehall.org/works/107380","Cabaret: Unknown selections"
"http://data.carnegiehall.org/works/110352","Variations on a Theme of Corelli"
"http://data.carnegiehall.org/works/27099","Preghiera"
"http://data.carnegiehall.org/works/32810","La bonne cuisine: Civet à toute vitesse (""Rabbit at top speed"")"
"http://data.carnegiehall.org/works/83040","The Shape of Silence"
